Russia,  Population size (1-year)     Last modified: 18-Nov-2011, MPv5 (May07)

Year     Age      Female         Male        Total
1959       0    1354781.00   1410264.00   2765045.00
1959       1    1327834.00   1380478.00   2708312.00
1959       2    1285340.00   1335064.00   2620404.00
1959       3    1313885.00   1365116.00   2679001.00
1959       4    1339333.00   1387099.00   2726432.00
1959       5    1216156.00   1260386.00   2476542.00
1959       6    1254227.00   1298359.00   2552586.00
1959       7    1232848.00   1271165.00   2504013.00
1959       8    1197470.00   1231918.00   2429388.00
1959       9    1258484.00   1297765.00   2556249.00
1959      10    1032032.00   1062415.00   2094447.00
1959      11    1047631.00   1068577.00   2116208.00
1959      12     991883.00   1026080.00   2017963.00
1959      13     586544.00    604748.00   1191292.00
1959      14     448646.00    465758.00    914404.00
1959      15     416278.00    423928.00    840206.00
1959      16     633989.00    631673.00   1265662.00
1959      17    1058000.00   1043192.00   2101192.00
1959      18    1162186.00   1153158.00   2315344.00
1959      19    1240744.00   1287671.00   2528415.00
1959      20    1378770.00   1378741.00   2757511.00
1959      21    1288326.00   1326841.00   2615167.00
1959      22    1181715.00   1167089.00   2348804.00
1959      23    1018774.00   1032752.00   2051526.00
1959      24     872603.00    869437.00   1742040.00
1959      25     887642.00    875611.00   1763253.00
1959      26    1049962.00   1020419.00   2070381.00
1959      27    1019377.00   1018518.00   2037895.00
1959      28    1237886.00   1223384.00   2461270.00
1959      29    1166480.00   1131585.00   2298065.00
1959      30    1407440.00   1301736.00   2709176.00
1959      31    1153361.00   1100747.00   2254108.00
1959      32    1269526.00   1060890.00   2330416.00
1959      33    1120010.00    832714.00   1952724.00
1959      34    1087201.00    730153.00   1817354.00
1959      35    1010802.00    631023.00   1641825.00
1959      36     857143.00    514840.00   1371983.00
1959      37     698291.00    446259.00   1144550.00
1959      38     729687.00    464355.00   1194042.00
1959      39     648550.00    414993.00   1063543.00
1959      40     863709.00    542139.00   1405848.00
1959      41     531219.00    351516.00    882735.00
1959      42     673497.00    412349.00   1085846.00
1959      43     785554.00    478316.00   1263870.00
1959      44     969492.00    572945.00   1542437.00
1959      45     925327.00    570150.00   1495477.00
1959      46     976022.00    570660.00   1546682.00
1959      47     831779.00    511259.00   1343038.00
1959      48     991713.00    567314.00   1559027.00
1959      49     759346.00    460773.00   1220119.00
1959      50     866620.00    495040.00   1361660.00
1959      51     736313.00    436794.00   1173107.00
1959      52     766484.00    447180.00   1213664.00
1959      53     705085.00    395911.00   1100996.00
1959      54     719494.00    389039.00   1108533.00
1959      55     762062.00    364971.00   1127033.00
1959      56     698201.00    320545.00   1018746.00
1959      57     557047.00    239093.00    796140.00
1959      58     779709.00    314139.00   1093848.00
1959      59     468400.00    240101.00    708501.00
1959      60     602520.00    264388.00    866908.00
1959      61     421362.00    215237.00    636599.00
1959      62     498355.00    241964.00    740319.00
1959      63     471168.00    229831.00    700999.00
1959      64     428648.00    210797.00    639445.00
1959      65     450940.00    215720.00    666660.00
1959      66     385919.00    184367.00    570286.00
1959      67     354377.00    163071.00    517448.00
1959      68     360062.00    165234.00    525296.00
1959      69     267590.00    118863.00    386453.00
1959      70     458055.00    176974.00    635029.00
1959      71     240046.00    117348.00    357394.00
1959      72     289913.00    124862.00    414775.00
1959      73     262109.00    110376.00    372485.00
1959      74     234442.00    100191.00    334633.00
1959      75     253494.00     98849.00    352343.00
1959      76     192456.00     79605.00    272061.00
1959      77     156279.00     61956.00    218235.00
1959      78     164956.00     67225.00    232181.00
1959      79     101465.00     43837.00    145302.00
1959      80     107440.23     41265.61    148705.84
1959      81      96690.20     36923.71    133613.91
1959      82      83116.87     31633.19    114750.06
1959      83      72680.91     26260.70     98941.61
1959      84      61345.46     22214.11     83559.57
1959      85      51381.85     18564.15     69946.00
1959      86      42360.28     15133.04     57493.32
1959      87      33840.45     11760.80     45601.25
1959      88      30215.07     10279.05     40494.12
1959      89      23759.32      7945.31     31704.63
1959      90      16218.23      4932.31     21150.54
1959      91      13429.89      3903.67     17333.56
1959      92      10418.87      3125.33     13544.20
1959      93       8576.14      2539.05     11115.19
1959      94       7563.51      2245.72      9809.23
1959      95       6200.55      1841.40      8041.95
1959      96       4641.19      1400.94      6042.13
1959      97       3559.52      1101.71      4661.23
1959      98       2712.44       790.60      3503.04
1959      99       1966.95       575.40      2542.35
1959     100       1475.54       431.41      1906.95
1959     101       1097.53       321.82      1419.35
1959     102        809.80       238.70      1048.50
1959     103        592.38       175.65       768.03
1959     104        429.91       128.42       558.33
1959     105        309.12        93.73       402.85
1959     106        220.54        67.79       288.33
1959     107        155.69        48.68       204.37
1959     108        109.20        34.72       143.92
1959     109         75.51        24.90       100.41
1959     110+       153.58        52.25       205.83
1960       0    1322840.22   1381027.58   2703867.80
1960       1    1297553.03   1344296.43   2641849.46
1960       2    1295464.66   1348909.90   2644374.56
1960       3    1281499.74   1330919.56   2612419.30
1960       4    1310571.63   1361295.36   2671866.99
1960       5    1334908.37   1380686.14   2715594.51
1960       6    1226461.33   1269868.19   2496329.52
1960       7    1247391.66   1293960.15   2541351.81
1960       8    1214977.01   1256322.41   2471299.42
1960       9    1189760.35   1232095.62   2421855.97
1960      10    1207938.05   1251931.99   2459870.04
1960      11    1106737.35   1143069.65   2249807.00
1960      12    1017106.50   1039155.38   2056261.88
1960      13     986603.80   1021086.87   2007690.67
1960      14     583284.76    602167.67   1185452.43
1960      15     448330.81    466131.36    914462.17
1960      16     416249.71    424591.49    840841.20
1960      17     633845.72    631280.85   1265126.57
1960      18    1056743.94   1043634.36   2100378.30
1960      19    1154519.19   1146424.48   2300943.67
1960      20    1244505.60   1285558.11   2530063.71
1960      21    1370141.84   1369034.06   2739175.90
1960      22    1288229.68   1323567.40   2611797.08
1960      23    1173086.66   1158752.42   2331839.08
1960      24    1014330.36   1027049.40   2041379.76
1960      25     868467.54    864630.66   1733098.20
1960      26     880211.85    868048.89   1748260.74
1960      27    1046478.38   1015379.19   2061857.57
1960      28    1015912.07   1014702.44   2030614.51
1960      29    1230266.54   1213881.19   2444147.73
1960      30    1169506.14   1131309.20   2300815.34
1960      31    1394356.88   1287833.74   2682190.62
1960      32    1157364.92   1100417.78   2257782.70
1960      33    1260492.87   1050206.47   2310699.34
1960      34    1117766.07    827112.06   1944878.13
1960      35    1086685.70    726669.26   1813354.96
1960      36    1005543.33    625583.98   1631127.31
1960      37     854152.34    510734.78   1364887.12
1960      38     696727.19    444329.53   1141056.72
1960      39     721714.30    458177.31   1179891.61
1960      40     650294.43    414352.03   1064646.46
1960      41     855949.21    536048.92   1391998.13
1960      42     531822.62    349837.74    881660.36
1960      43     667802.75    407570.94   1075373.69
1960      44     783270.55    475231.41   1258501.96
1960      45     970681.92    569573.41   1540255.33
1960      46     921012.51    564094.35   1485106.86
1960      47     974819.64    565818.94   1540638.58
1960      48     835711.08    507895.70   1343606.78
1960      49     978876.23    558519.23   1537395.46
1960      50     764308.14    458727.21   1223035.35
1960      51     858635.70    486244.68   1344880.38
1960      52     737928.37    433323.06   1171251.43
1960      53     762363.91    439773.98   1202137.89
1960      54     704516.54    390150.11   1094666.65
1960      55     716623.00    382493.89   1099116.89
1960      56     751408.84    357622.63   1109031.47
1960      57     691264.02    314450.67   1005714.69
1960      58     560309.26    237216.50    797525.76
1960      59     759021.67    303956.54   1062978.21
1960      60     470626.24    235003.13    705629.37
1960      61     586761.03    255433.45    842194.48
1960      62     421535.95    210221.33    631757.28
1960      63     488891.63    233108.37    722000.00
1960      64     462060.56    221427.23    683487.79
1960      65     420740.52    202703.99    623444.51
1960      66     437416.70    206229.03    643645.73
1960      67     376111.76    176499.64    552611.40
1960      68     342805.25    155531.13    498336.38
1960      69     348074.43    156861.60    504936.03
1960      70     262852.13    113151.13    376003.26
1960      71     436014.62    166548.26    602562.88
1960      72     234203.12    110817.05    345020.17
1960      73     276114.68    115996.28    392110.96
1960      74     249328.99    102581.82    351910.81
1960      75     222551.95     92530.15    315082.10
1960      76     236952.99     90367.70    327320.69
1960      77     180875.37     73068.17    253943.54
1960      78     145302.29     56077.22    201379.51
1960      79     152592.43     60625.17    213217.60
1960      80     117999.15     45908.29    163907.44
1960      81      97455.28     36557.90    134013.18
1960      82      88121.47     32792.38    120913.85
1960      83      74169.73     27440.20    101609.93
1960      84      64523.63     22644.19     87167.82
1960      85      53646.12     18844.13     72490.25
1960      86      44261.41     15567.89     59829.30
1960      87      36325.04     12614.87     48939.91
1960      88      28803.37      9722.58     38525.95
1960      89      25833.03      8529.75     34362.78
1960      90      19693.97      6427.49     26121.46
1960      91      13293.31      3971.81     17265.12
1960      92      11569.59      3296.68     14866.27
1960      93       8724.49      2563.90     11288.39
1960      94       7223.00      2107.62      9330.62
1960      95       6283.70      1850.95      8134.65
1960      96       4950.11      1435.17      6385.28
1960      97       3615.72      1042.11      4657.83
1960      98       2685.39       814.33      3499.72
1960      99       1985.29       574.93      2560.22
1960     100       1474.62       426.72      1901.34
1960     101       1085.38       314.39      1399.77
1960     102        790.93       230.23      1021.16
1960     103        570.89       167.43       738.32
1960     104        407.82       120.51       528.33
1960     105        288.59        86.01       374.60
1960     106        201.87        61.31       263.18
1960     107        139.88        43.16       183.04
1960     108         95.59        30.08       125.67
1960     109         64.83        20.75        85.58
1960     110+       119.07        39.95       159.02
1961       0    1321010.26   1382860.27   2703870.53
1961       1    1310994.79   1365185.20   2676179.99
1961       2    1295020.33   1340902.49   2635922.82
1961       3    1296131.42   1349229.94   2645361.36
1961       4    1278567.80   1327675.01   2606242.81
1961       5    1307673.59   1357922.52   2665596.11
